"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"534","Monte_Alegre_dos_Campos_03","Yellow fever virus",NA,"-N/A-","MZ712138","10172","-N/A-","03/03/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"535","Muitos_Capoes_01","Yellow fever virus",NA,"-N/A-","MZ712139","10172","-N/A-","02/20/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"536","Pinhal_da_Serra_01","Yellow fever virus",NA,"-N/A-","MZ712140","10164","-N/A-","01/25/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10164,1.0164,">90%","South America","Brazil"
"537","Pinhal_da_Serra_02","Yellow fever virus",NA,"-N/A-","MZ712141","10172","-N/A-","02/03/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"538","Pinhal_da_Serra_03","Yellow fever virus",NA,"-N/A-","MZ712142","10172","-N/A-","02/03/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"539","Pinhal_da_Serra_05","Yellow fever virus",NA,"-N/A-","MZ712143","10172","-N/A-","02/08/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"540","Pinhal_da_Serra_07","Yellow fever virus",NA,"-N/A-","MZ712144","10172","-N/A-","02/11/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"541","Pinhal_da_Serra_08","Yellow fever virus",NA,"-N/A-","MZ712145","10172","-N/A-","02/19/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"542","Pinhal_da_Serra_09","Yellow fever virus",NA,"-N/A-","MZ712146","10172","-N/A-","02/19/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"543","Vacaria_01","Yellow fever virus",NA,"-N/A-","MZ712147","10172","-N/A-","02/22/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"544","Vacaria_02","Yellow fever virus",NA,"-N/A-","MZ712148","10172","-N/A-","02/22/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"545","Vacaria_04","Yellow fever virus",NA,"-N/A-","MZ712149","10172","-N/A-","02/24/2021","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"546","TR 2807","Yellow fever virus",NA,"-N/A-","MN506265","11007","-N/A-","12/19/2017","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"547","NI 3104","Yellow fever virus",NA,"-N/A-","MN506266","11007","-N/A-","01/09/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"548","MR 1044","Yellow fever virus",NA,"-N/A-","MN506267","11007","-N/A-","05/08/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"549","MR 1112","Yellow fever virus",NA,"-N/A-","MN506268","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"550","MR 1351","Yellow fever virus",NA,"-N/A-","MN506269","11007","-N/A-","05/06/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"551","MR 1139","Yellow fever virus",NA,"-N/A-","MN506270","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"552","MR 1140","Yellow fever virus",NA,"-N/A-","MN506271","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"553","MR 1353","Yellow fever virus",NA,"-N/A-","MN506272","11007","-N/A-","05/06/2017","Unknown","Ae. scapularis","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"554","MR 1158","Yellow fever virus",NA,"-N/A-","MN506273","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"555","MR 1356","Yellow fever virus",NA,"-N/A-","MN506274","10719","-N/A-","05/06/2017","Unknown","Ae. taeniorhynchus","Brazil","genomic RNA",10719,1.0719,">90%","South America","Brazil"
"556","MR 1152","Yellow fever virus",NA,"-N/A-","MN506275","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"557","MR 1160","Yellow fever virus",NA,"-N/A-","MN506276","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"558","MR 1145","Yellow fever virus",NA,"-N/A-","MN506277","11007","-N/A-","05/05/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"559","MR 1358","Yellow fever virus",NA,"-N/A-","MN506278","11007","-N/A-","05/07/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"560","MR 1438","Yellow fever virus",NA,"-N/A-","MN506279","11007","-N/A-","05/04/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"561","MR 1391","Yellow fever virus",NA,"-N/A-","MN506280","11007","-N/A-","05/07/2017","Unknown","Hg. leucocelaenus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"562","MC 941","Yellow fever virus",NA,"-N/A-","MN506281","10859","-N/A-","04/26/2017","Unknown","Hg. janthinomys","Brazil","genomic RNA",10859,1.0859,">90%","South America","Brazil"
"563","MR 960","Yellow fever virus",NA,"-N/A-","MN506282","11007","-N/A-","05/08/2017","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"564","MR 976","Yellow fever virus",NA,"-N/A-","MN506283","11007","-N/A-","05/05/2017","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"565","VL 2967","Yellow fever virus",NA,"-N/A-","MN506284","11007","-N/A-","01/24/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"566","VL 2953","Yellow fever virus",NA,"-N/A-","MN506285","11007","-N/A-","01/24/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"567","VL 3005","Yellow fever virus",NA,"-N/A-","MN506286","11007","-N/A-","01/24/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"568","VL 3006","Yellow fever virus",NA,"-N/A-","MN506287","11007","-N/A-","01/24/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"569","VL 2964","Yellow fever virus",NA,"-N/A-","MN506288","11007","-N/A-","01/24/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"570","VL 3012","Yellow fever virus",NA,"-N/A-","MN506289","11007","-N/A-","01/26/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"571","VL 2909","Yellow fever virus",NA,"-N/A-","MN506290","11007","-N/A-","01/18/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"572","VL 3016","Yellow fever virus",NA,"-N/A-","MN506291","11007","-N/A-","01/26/2018","Unknown","Hg. janthinomys","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"573","INHRR10a-10/TVP21818","Yellow fever virus",NA,"-N/A-","MW158357","10660","-N/A-","2010","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10660,1.066,">90%","South America","Rest South America"
"574","IQD8393/TVP17415","Yellow fever virus","West Africa Genotype II","-N/A-","MW158358","10376","-N/A-","2004","Human","Homo sapiens","Peru","genomic RNA",10376,1.0376,">90%","South America","Rest South America"
"575","IQT5591/TVP21819","Yellow fever virus",NA,"-N/A-","MW158359","10668","-N/A-","01/20/1998","Human","Homo sapiens","Peru","genomic RNA",10668,1.0668,">90%","South America","Rest South America"
"576","MIS1034/TVP21820","Yellow fever virus","West Africa Genotype II","-N/A-","MW158360","10845","-N/A-","03/2011","Human","Homo sapiens","Peru","genomic RNA",10845,1.0845,">90%","South America","Rest South America"
"577","OBS2240/TVP21821","Yellow fever virus",NA,"-N/A-","MW158361","10665","-N/A-","05/19/1995","Human","Homo sapiens","Peru","genomic RNA",10665,1.0665,">90%","South America","Rest South America"
"578","OBS5026/TVP17399","Yellow fever virus","West Africa Genotype II","-N/A-","MW158362","10735","-N/A-","07/1997","Human","Homo sapiens","Ecuador","genomic RNA",10735,1.0735,">90%","South America","Rest South America"
"579","P16065/TVP21822","Yellow fever virus","West Africa Genotype II","-N/A-","MW158363","10838","-N/A-","1966","Human","Homo sapiens","United States of America","genomic RNA",10838,1.0838,">90%","North America","USA"
"580","TR7796/TVP21823","Yellow fever virus",NA,"-N/A-","MW158364","10622","-N/A-","01/22/2009","Unknown","Coquillettidia venezuelensis","Trinidad and Tobago","genomic RNA",10622,1.0622,">90%","South America","Rest Central America"
"581","TR7856/TVP21824","Yellow fever virus",NA,"-N/A-","MW158365","10668","-N/A-","12/05/2008","Mosquito","Mansonia titillans","Trinidad and Tobago","genomic RNA",10668,1.0668,">90%","South America","Rest Central America"
"582","TR8183/TVP21825","Yellow fever virus",NA,"-N/A-","MW158366","10659","-N/A-","01/16/2009","Mosquito","Culex spissipes","Trinidad and Tobago","genomic RNA",10659,1.0659,">90%","South America","Rest Central America"
"583","TR8194/TVP21826","Yellow fever virus",NA,"-N/A-","MW158367","10666","-N/A-","01/16/2009","Unknown","Coquillettidia venezuelensis","Trinidad and Tobago","genomic RNA",10666,1.0666,">90%","South America","Rest Central America"
"584","2643/2018","Yellow fever virus",NA,"-N/A-","ON022472","10172","-N/A-","02/24/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"585","0899/17 IV","Yellow fever virus",NA,"-N/A-","ON022401","10172","-N/A-","03/28/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"586","IAL-6","Yellow fever virus",NA,"-N/A-","ON022303","10096","-N/A-","01/24/2017","Primate","Non-human primate","Brazil","genomic RNA",10096,1.0096,">90%","South America","Brazil"
"587","PNH2662","Yellow fever virus",NA,"-N/A-","ON022709","10172","-N/A-","12/18/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"588","PNH1790","Yellow fever virus",NA,"-N/A-","ON022607","10172","-N/A-","07/07/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"589","2291/2018","Yellow fever virus",NA,"-N/A-","ON022473","10172","-N/A-","02/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"590","1908/17 IV","Yellow fever virus",NA,"-N/A-","ON022402","10172","-N/A-","11/07/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"591","3687","Yellow fever virus",NA,"-N/A-","ON022304","10172","-N/A-","07/04/2018","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"592","PNH2673","Yellow fever virus",NA,"-N/A-","ON022710","10172","-N/A-","12/16/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"593","PNH1396","Yellow fever virus",NA,"-N/A-","ON022608","10172","-N/A-","05/05/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"594","5435/2018","Yellow fever virus",NA,"-N/A-","ON022474","10172","-N/A-","02/18/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"595","1967/17 IV","Yellow fever virus",NA,"-N/A-","ON022403","10172","-N/A-","11/07/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"596","3689","Yellow fever virus",NA,"-N/A-","ON022305","10172","-N/A-","07/04/2018","Unknown","Haemagogus janthinomys capricornii","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"597","PNH2676","Yellow fever virus",NA,"-N/A-","ON022711","10172","-N/A-","12/14/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"598","PNH2655","Yellow fever virus",NA,"-N/A-","ON022609","10172","-N/A-","12/08/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"599","2000/17 IV","Yellow fever virus",NA,"-N/A-","ON022404","10172","-N/A-","11/30/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"600","2544/2018","Yellow fever virus",NA,"-N/A-","ON022475","10172","-N/A-","02/22/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"601","4086","Yellow fever virus",NA,"-N/A-","ON022306","10172","-N/A-","05/13/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"602","PNH2680","Yellow fever virus",NA,"-N/A-","ON022712","10172","-N/A-","12/13/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"603","PNH1794","Yellow fever virus",NA,"-N/A-","ON022610","10172","-N/A-","07/17/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"604","1617/2018","Yellow fever virus",NA,"-N/A-","ON022476","10172","-N/A-","02/06/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"605","1912/17 IV","Yellow fever virus",NA,"-N/A-","ON022405","10172","-N/A-","10/27/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"606","37071","Yellow fever virus",NA,"-N/A-","ON022307","10172","-N/A-","04/20/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"607","PNH2631","Yellow fever virus",NA,"-N/A-","ON022713","10172","-N/A-","11/06/2017","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"608","PNH1251","Yellow fever virus",NA,"-N/A-","ON022611","10172","-N/A-","04/17/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"609","1949/2018","Yellow fever virus",NA,"-N/A-","ON022477","10172","-N/A-","02/14/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"610","1965/17 IV","Yellow fever virus",NA,"-N/A-","ON022406","10172","-N/A-","10/25/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"611","3587","Yellow fever virus",NA,"-N/A-","ON022308","10172","-N/A-","04/02/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"612","PNH2485","Yellow fever virus",NA,"-N/A-","ON022714","10172","-N/A-","12/06/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"613","PNH1268","Yellow fever virus",NA,"-N/A-","ON022612","10172","-N/A-","04/17/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"614","0869/17 IV","Yellow fever virus",NA,"-N/A-","ON022407","10172","-N/A-","03/13/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"615","2054/2018","Yellow fever virus",NA,"-N/A-","ON022478","10172","-N/A-","02/09/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"616","3769","Yellow fever virus",NA,"-N/A-","ON022309","10172","-N/A-","04/11/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"617","PNH2505","Yellow fever virus",NA,"-N/A-","ON022715","10172","-N/A-","11/15/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"618","PNH1470","Yellow fever virus",NA,"-N/A-","ON022613","10172","-N/A-","05/17/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"619","1309/17 IV","Yellow fever virus",NA,"-N/A-","ON022408","10172","-N/A-","05/04/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"620","0730/2018","Yellow fever virus",NA,"-N/A-","ON022479","10172","-N/A-","01/24/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"621","35903","Yellow fever virus",NA,"-N/A-","ON022310","10172","-N/A-","03/10/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"622","258595_isolado","Yellow fever virus",NA,"-N/A-","ON022716","10172","-N/A-","11/26/2004","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"623","PNH1502","Yellow fever virus",NA,"-N/A-","ON022614","10172","-N/A-","05/11/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"624","1209/17 IV","Yellow fever virus",NA,"-N/A-","ON022409","10172","-N/A-","04/18/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"625","2301/2018","Yellow fever virus",NA,"-N/A-","ON022480","9884","-N/A-","02/19/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"626","IAL-14","Yellow fever virus",NA,"-N/A-","ON022311","10228","-N/A-","12/19/2016","Primate","Non-human primate","Brazil","genomic RNA",10228,1.0228,">90%","South America","Brazil"
"627","188002_isolado","Yellow fever virus",NA,"-N/A-","ON022717","10172","-N/A-","01/18/2000","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"628","PNH1255","Yellow fever virus",NA,"-N/A-","ON022615","10172","-N/A-","04/10/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"629","0949/17 IV","Yellow fever virus",NA,"-N/A-","ON022410","10172","-N/A-","04/06/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"630","2055/2018","Yellow fever virus",NA,"-N/A-","ON022481","10172","-N/A-","02/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"631","3531","Yellow fever virus",NA,"-N/A-","ON022312","10172","-N/A-","03/24/2018","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"632","189642_isolado","Yellow fever virus",NA,"-N/A-","ON022718","10172","-N/A-","04/27/2000","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"633","PNH1238","Yellow fever virus",NA,"-N/A-","ON022616","10172","-N/A-","04/20/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"634","2002/17 IV","Yellow fever virus",NA,"-N/A-","ON022411","10172","-N/A-","12/05/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"635","2540/2018","Yellow fever virus",NA,"-N/A-","ON022482","10172","-N/A-","02/20/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"636","3538","Yellow fever virus",NA,"-N/A-","ON022313","10172","-N/A-","03/24/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"637","PNH1299","Yellow fever virus",NA,"-N/A-","ON022617","10172","-N/A-","05/03/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"638","158057_isolado","Yellow fever virus",NA,"-N/A-","ON022719","10172","-N/A-","-N/A-","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"639","1593/17 IV","Yellow fever virus",NA,"-N/A-","ON022412","10172","-N/A-","07/04/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"640","2138/2018","Yellow fever virus",NA,"-N/A-","ON022483","10172","-N/A-","02/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"641","4869","Yellow fever virus",NA,"-N/A-","ON022314","10172","-N/A-","04/16/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"642","PNH1265","Yellow fever virus",NA,"-N/A-","ON022618","10172","-N/A-","04/16/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"643","188057_isolado","Yellow fever virus",NA,"-N/A-","ON022720","10172","-N/A-","01/18/2000","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"644","1942/17 IV","Yellow fever virus",NA,"-N/A-","ON022413","10172","-N/A-","11/08/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"645","2137/2018","Yellow fever virus",NA,"-N/A-","ON022484","10172","-N/A-","02/20/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"646","TEC1622","Yellow fever virus",NA,"-N/A-","ON022315","10172","-N/A-","03/21/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"647","PNH1301","Yellow fever virus",NA,"-N/A-","ON022619","10172","-N/A-","04/28/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"648","187978_isolado","Yellow fever virus",NA,"-N/A-","ON022721","10172","-N/A-","-N/A-","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"649","0952/17 IV","Yellow fever virus",NA,"-N/A-","ON022414","10172","-N/A-","04/03/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"650","1781/2018","Yellow fever virus",NA,"-N/A-","ON022485","10172","-N/A-","02/08/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"651","1075","Yellow fever virus",NA,"-N/A-","ON022316","10172","-N/A-","03/01/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"652","PNH2683","Yellow fever virus",NA,"-N/A-","ON022620","10172","-N/A-","12/14/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"653","144990_isolado","Yellow fever virus",NA,"-N/A-","ON022722","10173","-N/A-","04/06/1993","Human","Homo sapiens","Brazil","genomic RNA",10173,1.0173,">90%","South America","Brazil"
"654","0849/17 IV","Yellow fever virus",NA,"-N/A-","ON022415","10172","-N/A-","04/03/2017","Monkey","Callithrix geoffroyi","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"655","2634/2018","Yellow fever virus",NA,"-N/A-","ON022486","10172","-N/A-","02/22/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"656","1086","Yellow fever virus",NA,"-N/A-","ON022317","10172","-N/A-","03/12/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"657","PNH1262","Yellow fever virus",NA,"-N/A-","ON022621","10172","-N/A-","04/12/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"658","0441/2017","Yellow fever virus",NA,"-N/A-","ON022723","10172","-N/A-","01/27/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"659","1258/17 IV","Yellow fever virus",NA,"-N/A-","ON022416","10172","-N/A-","05/05/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"660","2136/2018","Yellow fever virus",NA,"-N/A-","ON022487","10172","-N/A-","02/19/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"661","1079","Yellow fever virus",NA,"-N/A-","ON022318","10172","-N/A-","03/05/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"662","PNH2691","Yellow fever virus",NA,"-N/A-","ON022622","10172","-N/A-","12/07/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"663","2501/2018","Yellow fever virus",NA,"-N/A-","ON022724","10172","-N/A-","07/02/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"664","1938/17 IV","Yellow fever virus",NA,"-N/A-","ON022417","10172","-N/A-","10/31/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"665","1828/2018","Yellow fever virus",NA,"-N/A-","ON022488","10172","-N/A-","02/11/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"666","SOFFA","Yellow fever virus",NA,"-N/A-","ON022319","10172","-N/A-","01/2019","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"667","PNH2686","Yellow fever virus",NA,"-N/A-","ON022623","10172","-N/A-","12/13/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"668","0810/17 IV","Yellow fever virus",NA,"-N/A-","ON022418","10172","-N/A-","03/24/2017","Monkey","Sapajus apella","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"669","3922/2017","Yellow fever virus",NA,"-N/A-","ON022725","10172","-N/A-","04/13/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"670","1797/2018","Yellow fever virus",NA,"-N/A-","ON022489","10172","-N/A-","02/06/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"671","2864","Yellow fever virus",NA,"-N/A-","ON022320","10172","-N/A-","01/08/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"672","PNH2688","Yellow fever virus",NA,"-N/A-","ON022624","10172","-N/A-","12/17/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"673","2538/2018","Yellow fever virus",NA,"-N/A-","ON022726","9884","-N/A-","02/20/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"674","1902/17 IV","Yellow fever virus",NA,"-N/A-","ON022419","10172","-N/A-","11/05/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"675","1950/2018","Yellow fever virus",NA,"-N/A-","ON022490","9884","-N/A-","02/15/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"676","2878","Yellow fever virus",NA,"-N/A-","ON022321","10172","-N/A-","12/29/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
