"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","Segment","Protein Name","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"511","0776-08","Rift Valley fever phlebovirus","GQ443140","627","-N/A-","03/14/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"512","2007001809","Rift Valley fever phlebovirus","EU574015","6404","-N/A-","12/01/2006","Goat","caprine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"513","2007003081","Rift Valley fever phlebovirus","EU574060","1691","-N/A-","02/27/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"514","2007000094","Rift Valley fever phlebovirus","EU574029","6404","-N/A-","01/12/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"515","200803162","Rift Valley fever phlebovirus","JF311368","6404","-N/A-","01/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"516","ArD38388BF83","Rift Valley fever phlebovirus","EU312116","1692","-N/A-","1983","Mosquito","Aedes cumminsii (mosquito)","Burkina Faso","genomic RNA","S","NP, NSs",1692,0.141,"0-50%","Africa","Western Africa"
"517","0895-08","Rift Valley fever phlebovirus","GQ443246","756","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"518","H1825","Rift Valley fever phlebovirus","HM587114","490","-N/A-","1975","Human","Homo sapiens","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"519","2007001443","Rift Valley fever phlebovirus","EU574018","6404","-N/A-","01/31/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"520","1853/78","Rift Valley fever phlebovirus","DQ375424","6404","-N/A-","1978","Unknown","-N/A-","Zimbabwe","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"521","Hv-B375","Rift Valley fever phlebovirus","DQ380161","1690","-N/A-","1985","Human","Homo sapiens","Central African Republic","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"522","S3_HM_MR_KI_2003","Rift Valley fever phlebovirus","JN995283","601","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"523","SPU12/99/21","Rift Valley fever phlebovirus","HM587051","490","-N/A-","1999","Goat","caprine","Somalia","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Eastern Africa"
"524","0879-08","Rift Valley fever phlebovirus","GQ443205","564","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"525","1695-08","Rift Valley fever phlebovirus","GQ443213","564","-N/A-","04/20/2008","Sheep","Ovis aries","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"526","M36_ARBkcx_SN_BA_2003","Rift Valley fever phlebovirus","JN995341","718","-N/A-","2003","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"527","S214_HM_MR_GA_1987","Rift Valley fever phlebovirus","JN995255","601","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"528","S28_ARDwcx_SN_DI_1998","Rift Valley fever phlebovirus","JN995270","601","-N/A-","1998","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"529","UNKNOWN-GU953292","Rift Valley fever phlebovirus","GU953292","570","-N/A-","-N/A-","Human","Homo sapiens","Egypt","genomic RNA","M","glycoprotein n",570,0.0475,"0-50%","Africa","Northern Africa"
"530","Hv-B375","Rift Valley fever phlebovirus","DQ375422","6404","-N/A-","1985","Unknown","-N/A-","Central African Republic","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"531","Zinga","Rift Valley fever phlebovirus","DQ380167","1690","-N/A-","1969","Mosquito","Mansonia africana","Central African Republic","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"532","2007000323","Rift Valley fever phlebovirus","JF326194","3885","-N/A-","02/2007","Human","Homo sapiens","Tanzania","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"533","0863-08","Rift Valley fever phlebovirus","GQ443203","564","-N/A-","03/25/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"534","0879-08","Rift Valley fever phlebovirus","GQ443243","756","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"535","0853-08","Rift Valley fever phlebovirus","GQ443198","564","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"536","0889-08","Rift Valley fever phlebovirus","GQ443244","756","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"537","2007000473","Rift Valley fever phlebovirus","EU574050","3885","-N/A-","01/26/2007","Sheep","ovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"538","2007000250","Rift Valley fever phlebovirus","JF326200","1691","-N/A-","12/29/2006","Mosquito","mosquito","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"539","0449-08","Rift Valley fever phlebovirus","GQ443134","627","-N/A-","02/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"540","ZS-6365","Rift Valley fever phlebovirus","DQ380145","1690","-N/A-","1979","Sheep","sheep","Egypt","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"541","0779-08","Rift Valley fever phlebovirus","GQ443141","627","-N/A-","03/16/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"542","AnTAMBUL","Rift Valley fever phlebovirus","EU312110","1690","-N/A-","1994","Animal","animal","Egypt","genomic RNA","S","NP, NSs",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"543","Kenya 9800523","Rift Valley fever phlebovirus","DQ380196","3885","-N/A-","1998","Human","Homo sapiens","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"544","0852-08","Rift Valley fever phlebovirus","GQ443197","564","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"545","2007002060","Rift Valley fever phlebovirus","EU574013","6404","-N/A-","01/31/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"546","2007002060","Rift Valley fever phlebovirus","EU574066","1691","-N/A-","01/31/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"547","SA404/09","Rift Valley fever phlebovirus","HM587096","490","-N/A-","2009","Human","Homo sapiens","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"548","73HB1230","Rift Valley fever phlebovirus","DQ375425","6404","-N/A-","1973","Unknown","-N/A-","Central African Republic","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"549","CAR-R1622","Rift Valley fever phlebovirus","DQ380160","1690","-N/A-","1985","Human","Homo sapiens","Central African Republic","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"550","M226_HM_MR_NK_1987","Rift Valley fever phlebovirus","JN995302","718","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"551","S32_ARBkcx_SN_BA_2002","Rift Valley fever phlebovirus","JN995278","601","-N/A-","2002","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"552","Sudan 85-2010","Rift Valley fever phlebovirus","JQ820476","1691","-N/A-","10/2010","Human","Homo sapiens","Sudan","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"553","0693-08","Rift Valley fever phlebovirus","GQ443188","564","-N/A-","03/11/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"554","0427-08","Rift Valley fever phlebovirus","GQ443221","756","-N/A-","02/22/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"555","2032-08","Rift Valley fever phlebovirus","GQ443254","756","-N/A-","05/25/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"556","0878-08","Rift Valley fever phlebovirus","GQ443204","564","-N/A-","03/26/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"557","M6_HM_MR_LA_2003","Rift Valley fever phlebovirus","JN995333","718","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"558","S211_HM_MR_RO_1987","Rift Valley fever phlebovirus","JN995253","601","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"559","200803163","Rift Valley fever phlebovirus","JF311369","6404","-N/A-","02/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"560","Ken 199800523","Rift Valley fever phlebovirus","KU978774","1636","-N/A-","01/04/1998","Human","Homo sapiens","Kenya","genomic RNA","S","hypothetical protein, nucleocapsid protein",1636,0.136333333333333,"0-50%","Africa","Eastern Africa"
"561","Entebbe","Rift Valley fever phlebovirus","DQ380191","3885","-N/A-","1944","Mosquito","mosquito","Uganda","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"562","200803169","Rift Valley fever phlebovirus","JF311375","6404","-N/A-","02/2008","Cattle","bovine","Madagascar","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"563","M232_HM_MR_RO_1987","Rift Valley fever phlebovirus","JN995305","718","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"564","0846-08","Rift Valley fever phlebovirus","GQ443231","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"565","M34_ARBkvx_SN_BA_2002","Rift Valley fever phlebovirus","JN995327","718","-N/A-","2002","Mosquito","Aedes vexans","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"566","OS-4","Rift Valley fever phlebovirus","HM587122","490","-N/A-","1988","Human","Homo sapiens","Mauritania","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Western Africa"
"567","M27_ARDwcx_SN_DI_1998","Rift Valley fever phlebovirus","JN995317","718","-N/A-","1998","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"568","Ar118","Rift Valley fever phlebovirus","HM587120","490","-N/A-","1955","Mosquito","Aedes circumluteolus","South Africa","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Southern Africa"
"569","M298_ARMcx_MR_GI_2003","Rift Valley fever phlebovirus","JN995336","718","-N/A-","2003","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"570","ZH-501-777","Rift Valley fever phlebovirus","DQ380148","1690","-N/A-","-N/A-","Unknown","-N/A-","Egypt","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"571","M24_ANM_MR_HG_1998","Rift Valley fever phlebovirus","JN995315","718","-N/A-","1998","Sheep","sheep","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"572","T-46 (228113)","Rift Valley fever phlebovirus","DQ380199","3885","-N/A-","1977","Mosquito","Aedes taeniorhyncus","Egypt","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Northern Africa"
"573","2007000260","Rift Valley fever phlebovirus","JF326193","3885","-N/A-","12/31/2006","Mosquito","mosquito","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"574","M9_ARDwcx_SN_DI_1998","Rift Valley fever phlebovirus","JN995319","718","-N/A-","1998","Mosquito","Culex poicilipes","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"575","SA-51 (Van Wyck)","Rift Valley fever phlebovirus","DQ380195","3885","-N/A-","1951","Sheep","ovine","South Africa","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"576","ZH-501","Rift Valley fever phlebovirus","DQ380149","1690","-N/A-","1977","Human","Homo sapiens","Egypt","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"577","S347_ARMcx_MR_GI_2003","Rift Valley fever phlebovirus","JN995291","601","-N/A-","2003","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"578","0619-08","Rift Valley fever phlebovirus","GQ443184","564","-N/A-","03/09/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"579","2007000611","Rift Valley fever phlebovirus","EU574078","1691","-N/A-","01/29/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"580","AnK3837","Rift Valley fever phlebovirus","HM587084","490","-N/A-","1981","Bat","Hipposideros caffer","Guinea","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Western Africa"
"581","227602","Rift Valley fever phlebovirus","KF648860","581","-N/A-","11/02/2012","Human","Homo sapiens","Mauritania","genomic RNA","S","nonstructural protein",581,0.0484166666666667,"0-50%","Africa","Western Africa"
"582","227595","Rift Valley fever phlebovirus","KF648857","581","-N/A-","11/02/2012","Human","Homo sapiens","Mauritania","genomic RNA","S","nonstructural protein",581,0.0484166666666667,"0-50%","Africa","Western Africa"
"583","2007000324","Rift Valley fever phlebovirus","JF326190","6404","-N/A-","02/2007","Human","Homo sapiens","Tanzania","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"584","2373/74","Rift Valley fever phlebovirus","DQ375432","6404","-N/A-","1974","Unknown","-N/A-","Zimbabwe","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Southern Africa"
"585","S6_HM_MR_LA_2003","Rift Valley fever phlebovirus","JN995286","601","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"586","Sudan 1-2007","Rift Valley fever phlebovirus","JQ840745","1691","-N/A-","10/2007","Human","Homo sapiens","Sudan","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"587","0693-08","Rift Valley fever phlebovirus","GQ443139","627","-N/A-","03/11/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"588","227595","Rift Valley fever phlebovirus","KF648851","680","-N/A-","11/02/2012","Human","Homo sapiens","Mauritania","genomic RNA","M","nonstructural glycoprotein",680,0.0566666666666667,"0-50%","Africa","Western Africa"
"589","2007000222","Rift Valley fever phlebovirus","EU574054","3885","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"590","S7_HM_MR_LA_2003","Rift Valley fever phlebovirus","JN995287","601","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"591","0428-08","Rift Valley fever phlebovirus","GQ443130","627","-N/A-","02/15/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"592","Kenya-128b-15","Rift Valley fever phlebovirus","KX096940","1692","-N/A-","2006","Mosquito","Aedes ochraceus","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1692,0.141,"0-50%","Africa","Eastern Africa"
"593","M292_HM_MR_HG_1998","Rift Valley fever phlebovirus","JN995344","718","-N/A-","1998","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"594","S13_ARMcx_MR_AA_1999","Rift Valley fever phlebovirus","JN995274","601","-N/A-","1999","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"595","227598","Rift Valley fever phlebovirus","KF648858","581","-N/A-","11/02/2012","Human","Homo sapiens","Mauritania","genomic RNA","S","nonstructural protein",581,0.0484166666666667,"0-50%","Africa","Western Africa"
"596","S2_HM_MR_TI_2003","Rift Valley fever phlebovirus","JN995282","601","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"597","M20_ARBk_SN_BA_1993","Rift Valley fever phlebovirus","JN995311","718","-N/A-","1993","Mosquito","Aedes vexans","Senegal","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"598","ArD38661","Rift Valley fever phlebovirus","HM587124","490","-N/A-","1983","Mosquito","Aedes dalzieli","Senegal","genomic RNA","M","glycoprotein G2",490,0.0408333333333333,"0-50%","Africa","Western Africa"
"599","0682-08","Rift Valley fever phlebovirus","GQ443185","564","-N/A-","03/12/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"600","200803164","Rift Valley fever phlebovirus","JF311379","3885","-N/A-","03/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"601","0684-08","Rift Valley fever phlebovirus","GQ443138","627","-N/A-","03/12/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"602","0848-08","Rift Valley fever phlebovirus","GQ443145","627","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"603","Ar74RSA55","Rift Valley fever phlebovirus","EU312111","1691","-N/A-","1955","Mosquito","Aedes circumluteolus (mosquito)","South Africa","genomic RNA","S","NP, NSs",1691,0.140916666666667,"0-50%","Africa","Southern Africa"
"604","2007002444","Rift Valley fever phlebovirus","EU574012","6404","-N/A-","02/05/2007","Cattle","bovine","Kenya","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Eastern Africa"
"605","2007002059","Rift Valley fever phlebovirus","EU574067","1690","-N/A-","02/07/2007","Sheep","ovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"606","1853/78","Rift Valley fever phlebovirus","DQ380220","3885","-N/A-","1978","Cattle","bovine","Zimbabwe","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Southern Africa"
"607","200803163","Rift Valley fever phlebovirus","JF311378","3885","-N/A-","02/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"608","Sudan 34-2010","Rift Valley fever phlebovirus","JQ820475","1690","-N/A-","10/2010","Human","Homo sapiens","Sudan","genomic RNA","S","nonstructural protein, nucleocapsid protein",1690,0.140833333333333,"0-50%","Africa","Eastern Africa"
"609","ANK-3837","Rift Valley fever phlebovirus","DQ375420","6404","-N/A-","1981","Unknown","-N/A-","Guinea","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"610","ANK-3837","Rift Valley fever phlebovirus","DQ380165","1690","-N/A-","1981","Bat","Hipposideros caffer (bat)","Guinea","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Western Africa"
"611","0856-08","Rift Valley fever phlebovirus","GQ443201","564","-N/A-","03/24/2008","Cattle","Bos taurus","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"612","OS-8","Rift Valley fever phlebovirus","DQ375395","6404","-N/A-","1987","Unknown","-N/A-","Mauritania","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Western Africa"
"613","Smithburn","Rift Valley fever phlebovirus","DQ380157","1692","-N/A-","1944","Unknown","-N/A-","Uganda","genomic RNA","S","non-structural protein, nucleocapsid",1692,0.141,"0-50%","Africa","Eastern Africa"
"614","FI-152","Rift Valley fever phlebovirus","GU135860","756","-N/A-","12/20/2008","Mosquito","Culex antennatus","Madagascar","genomic RNA","M","glycoprotein Gn",756,0.063,"0-50%","Africa","Eastern Africa"
"615","2007004193","Rift Valley fever phlebovirus","EU574058","1691","-N/A-","04/23/2007","Cattle","bovine","Kenya","genomic RNA","S","nonstructural protein, nucleocapsid protein",1691,0.140916666666667,"0-50%","Africa","Eastern Africa"
"616","2007000223","Rift Valley fever phlebovirus","EU574053","3885","-N/A-","01/16/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"617","2007001564","Rift Valley fever phlebovirus","EU574044","3885","-N/A-","01/29/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"618","211857","Rift Valley fever phlebovirus","KF717592","601","-N/A-","12/05/2010","Human","Homo sapiens","Mauritania","genomic RNA","S","nonstructural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
"619","0413-08","Rift Valley fever phlebovirus","GQ443128","627","-N/A-","02/20/2008","Cattle","Bos taurus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"620","0848-08","Rift Valley fever phlebovirus","GQ443194","564","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"621","1464-08","Rift Valley fever phlebovirus","GQ443248","756","-N/A-","03/28/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"622","ZH-548","Rift Valley fever phlebovirus","DQ375403","6404","-N/A-","1977","Unknown","-N/A-","Egypt","genomic RNA","L","polymerase",6404,0.533666666666667,"50-90%","Africa","Northern Africa"
"623","0849-08","Rift Valley fever phlebovirus","GQ443195","564","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","L","polymerase",564,0.047,"0-50%","Africa","Eastern Africa"
"624","1585-08","Rift Valley fever phlebovirus","GQ443249","756","-N/A-","04/13/2008","Goat","Capra hircus","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"625","M208_HM_MR_KM_1987","Rift Valley fever phlebovirus","JN995300","718","-N/A-","1987","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"626","AL-51","Rift Valley fever phlebovirus","GU135845","627","-N/A-","04/27/2009","Mosquito","Anopheles squamosus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"627","ZH-1776","Rift Valley fever phlebovirus","DQ380153","1690","-N/A-","1978","Human","Homo sapiens","Egypt","genomic RNA","S","non-structural protein, nucleocapsid",1690,0.140833333333333,"0-50%","Africa","Northern Africa"
"628","AL-53","Rift Valley fever phlebovirus","GU135846","627","-N/A-","04/27/2009","Mosquito","Anopheles squamosus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"629","Ken 199800523","Rift Valley fever phlebovirus","KU978780","6431","-N/A-","01/04/1998","Human","Homo sapiens","Kenya","genomic RNA","L","hypothetical protein",6431,0.535916666666667,"50-90%","Africa","Eastern Africa"
"630","1730-08","Rift Valley fever phlebovirus","GQ443168","627","-N/A-","04/25/2008","Cattle","Bos taurus","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"631","0849-08","Rift Valley fever phlebovirus","GQ443234","756","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","M","glycoprotein G2",756,0.063,"0-50%","Africa","Eastern Africa"
"632","M30_ARMcx_MR_AA_1999","Rift Valley fever phlebovirus","JN995322","718","-N/A-","1999","Mosquito","Culex poicilipes","Mauritania","viral cRNA","-N/A-","glycoprotein",718,0.0598333333333333,"0-50%","Africa","Western Africa"
"633","2007002060","Rift Valley fever phlebovirus","EU574039","3885","-N/A-","01/31/2007","Cattle","bovine","Kenya","genomic RNA","M","glycoprotein",3885,0.32375,"0-50%","Africa","Eastern Africa"
"634","0852-08","Rift Valley fever phlebovirus","GQ443149","627","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"635","0683-08","Rift Valley fever phlebovirus","GQ443137","627","-N/A-","03/12/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"636","0845-08","Rift Valley fever phlebovirus","GQ443142","627","-N/A-","03/23/2008","Human","Homo sapiens","Madagascar","genomic RNA","S","nonstructural protein",627,0.05225,"0-50%","Africa","Eastern Africa"
"637","211857","Rift Valley fever phlebovirus","KF717589","680","-N/A-","12/05/2010","Human","Homo sapiens","Mauritania","genomic RNA","M","glycoprotein",680,0.0566666666666667,"0-50%","Africa","Western Africa"
"638","S1_HM_MR_HS_2003","Rift Valley fever phlebovirus","JN995281","601","-N/A-","2003","Human","Homo sapiens","Mauritania","viral cRNA","-N/A-","non-structural protein",601,0.0500833333333333,"0-50%","Africa","Western Africa"
